"","county","tdoses","svi_totpop","svi_2020","sdi_county_population","sdi_2020","sdiq","sviq","svi_rate","sdi_rate","cpc"
"1","Alcona",3644,10396,0.1098,10353,42,3,1,35.0519430550212,35.1975272867768,0.746987951807229
"2","Alger",2746,9098,0.4634,9151,22,2,3,30.1824576830073,30.00764943722,0.481927710843373
"3","Allegan",33327,117104,0.2561,116143,18,1,2,28.4593182128706,28.6947986533842,0.373493975903614
"4","Alpena",10195,28431,0.4268,28520,33,2,3,35.8587457352889,35.7468443197756,0.819277108433735
"5","Antrim",7641,23301,0.0488,23206,14,1,1,32.79258400927,32.9268292682927,0.674698795180723
"6","Arenac",5107,15013,0.4146,15070,49,4,3,34.0171851062413,33.8885202388852,0.698795180722892
"7","Baraga",1773,8337,0.5122,8421,49,4,3,21.266642677222,21.0545065906662,0.0602409638554217
"8","Barry",16746,61045,0.061,60540,7,1,1,27.4322221312147,27.6610505450942,0.313253012048193
"9","Bay",32224,103506,0.3902,104104,49,4,2,31.1324947346048,30.9536617228925,0.55421686746988
"10","Benzie",6597,17703,0.0732,17615,8,1,1,37.2648703609558,37.451036048822,0.879518072289157
"11","Berrien",47064,153797,0.939,154133,58,5,5,30.6013771399962,30.5346681113065,0.518072289156627
"12","Branch",10629,43428,0.9512,43513,53,4,5,24.4749930920144,24.4271826810379,0.156626506024096
"13","Calhoun",39395,133943,0.8902,134212,57,4,5,29.4117647058824,29.3528149494829,0.44578313253012
"14","Cass",7293,51613,0.3415,51523,34,2,2,14.1301610059481,14.1548434679658,0.0120481927710843
"15","Charlevoix",10064,26197,0.1463,26188,9,1,1,38.4166125892278,38.4298151825263,0.891566265060241
"16","Cheboygan",7474,25435,0.3537,25418,34,3,2,29.384706113623,29.4043591155874,0.433734939759036
"17","Chippewa",9563,37418,0.9756,37629,67,5,5,25.5572184510129,25.4139094847059,0.216867469879518
"18","Clare",8359,30655,0.9878,30651,71,5,5,27.2679823846028,27.2715408958925,0.301204819277108
"19","Clinton",21380,78957,0.0366,78389,5,1,1,27.0780298136961,27.2742349054076,0.27710843373494
"20","Crawford",3977,13904,0.4878,13892,47,3,3,28.6032796317606,28.6279873308379,0.385542168674699
"21","Delta",12394,35874,0.4024,36026,27,2,2,34.5486982215532,34.4029312163438,0.710843373493976
"22","Dickinson",8356,25373,0.0976,25439,23,2,1,32.932644937532,32.8472031133299,0.686746987951807
